,phrase,label,sentiment,subjectivity,language,count
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.23333333333333334,0.0,de,15
DWD,DWD,ORG,0.14285714285714285,0.14285714285714285,de,7
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.2,0.0,de,5
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,0.35,0.0,de,2
Winterglück,Winterglück,ORG,1.0,0.0,de,1
Weihnachtskirche Roms,Weihnachtskirche Roms,ORG,0.0,0.0,de,1
Fraport,Fraport,ORG,-0.7,0.0,de,1
Deutschen Presse-Agentur,Deutschen Presse-Agentur,ORG,0.0,0.0,de,1
Glatteis-Warnung,Glatteis-Warnung,ORG,0.0,0.0,de,1
Deutschen W,Deutschen W,ORG,-0.7,0.0,de,1
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.0,0.0,de,1
sta…,sta…,ORG,0.0,0.0,de,1
