,phrase,label,sentiment,subjectivity,language,count
Nick Frost,Nick Frost,PER,0.024074074074074074,0.0,de,27
Robbie Coltrane,Robbie Coltrane,PER,0.6714285714285715,0.0,de,7
Marco Odermatt,Marco Odermatt,PER,0.9400000000000001,0.0,de,5
Harry Potter,Harry Potter,PER,0.375,0.125,de,4
Lindsey Vonn,Lindsey Vonn,PER,0.0,0.0,de,4
Halbriese Hagrid,Halbriese Hagrid,PER,-1.0,0.0,de,4
Thomas Wrede,Thomas Wrede,PER,0.0,0.0,de,4
Thomas Hoffmann,Thomas Hoffmann,PER,-0.04999999999999999,0.125,de,4
FOCUS-online-Experte Jan Schenk,FOCUS-online-Experte Jan Schenk,PER,0.025000000000000022,0.0,de,4
Grad Celsius,Grad Celsius,PER,0.5249999999999999,0.0,de,4
Johannes Hösflot Kläbo,Johannes Hösflot Kläbo,PER,0.0,0.0,de,3
Unionskandidat Merz,Unionskandidat Merz,PER,0.0,0.0,de,3
Markus Lanz,Markus Lanz,PER,0.0,0.0,de,3
Stellenweise Frost,Stellenweise Frost,PER,-0.6999999999999998,0.0,de,3
Sebastian Ströbel,Sebastian Ströbel,PER,-0.2333333333333333,0.0,de,3
Heidi Klum,Heidi Klum,PER,-0.2333333333333333,0.0,de,3
Tatjana Befuss,Tatjana Befuss,PER,0.0,1.0,de,2
Maximilian Beier,Maximilian Beier,PER,0.0,0.0,de,2
Christina Biasi,Christina Biasi,PER,0.5,0.0,de,2
Mürer Stemland,Mürer Stemland,PER,0.0,0.0,de,2
Thore Hansen,Thore Hansen,PER,-0.7,0.0,de,2
Usha Vance,Usha Vance,PER,1.0,0.0,de,2
Therese Johaug,Therese Johaug,PER,0.35,0.0,de,2
Dustin Tokarski,Dustin Tokarski,PER,-0.35,0.0,de,2
Rubeus Hagrid,Rubeus Hagrid,PER,0.7,0.0,de,2
mal Nebel,mal Nebel,PER,0.0,0.0,de,2
Federica Brignone,Federica Brignone,PER,0.35,0.0,de,2
Amy Waldman,Amy Waldman,PER,0.0,0.0,de,2
Djuro Macut,Djuro Macut,PER,0.0,0.0,de,2
Martin Gerstenberg,Martin Gerstenberg,PER,-0.35,0.5,de,2
Kronprinz Mohammed bin Salman,Kronprinz Mohammed bin Salman,PER,0.0,0.0,de,2
Lars Zimmermann,Lars Zimmermann,PER,0.0,0.0,de,2
Trockenes Herbstwetter,Trockenes Herbstwetter,PER,0.00833333333333336,0.0,de,2
Hunderte Wanderer,Hunderte Wanderer,PER,0.0,0.0,de,2
Bob Geldof,Bob Geldof,PER,0.0,0.0,de,2
Sean Bean,Sean Bean,PER,0.0,0.0,de,2
Jörg Pilawa,Jörg Pilawa,PER,0.0,0.0,de,2
Bundestagspräsidentin Julia Klöckner,Bundestagspräsidentin Julia Klöckner,PER,0.0,0.0,de,2
Stephanie Venier,Stephanie Venier,PER,0.0,0.5,de,2
Anfänglicher Nebel,Anfänglicher Nebel,PER,0.0,0.0,de,2
Herbststurm Joshua,Herbststurm Joshua,PER,-0.35,0.0,de,2
Nikolaus Geyrhalter,Nikolaus Geyrhalter,PER,0.0,0.0,de,2
Frost Giant,Frost Giant,PER,0.5,0.0,de,2
Boris Palmer,Boris Palmer,PER,0.0,0.5,de,2
David Lynch,David Lynch,PER,0.0,0.0,de,2
Winterbilanz von Meteorologen,Winterbilanz von Meteorologen,PER,0.0,0.0,de,2
Celine Marti,Celine Marti,PER,0.0,0.4,de,2
Jan Eifert,Jan Eifert,PER,0.0,0.0,de,2
Edward Limbaga,Edward Limbaga,PER,0.35,0.0,de,2
Robert Frost,Robert Frost,PER,0.0,0.0,de,2
Schneemangel am Jenner,Schneemangel am Jenner,PER,0.0,1.0,de,2
Frostige Temperaturen,Frostige Temperaturen,PER,0.0,0.0,de,2
Josef Grüner,Josef Grüner,PER,0.0,0.0,de,2
Kaltes Winterwetter,Kaltes Winterwetter,PER,0.0,0.0,de,2
Wintertief Elli,Wintertief Elli,PER,0.0,0.0,de,2
Nico Bauer,Nico Bauer,PER,0.5,0.0,de,2
Marian Grunden,Marian Grunden,PER,0.0,0.0,de,2
Donald Trump,Donald Trump,PER,0.0,0.0,de,2
"Wintertief ""Elli","Wintertief ""Elli",PER,-0.35,0.5,de,2
Unionskanzlerkandidat Merz,Unionskanzlerkandidat Merz,PER,-0.35,0.0,de,2
Winfried Kretschmann,Winfried Kretschmann,PER,-0.35,0.0,de,2
Mal Sonne,Mal Sonne,PER,0.0,0.0,de,2
Vergangenes Jahr,Vergangenes Jahr,PER,-0.35,0.0,de,2
Lucile Hadžihalilović,Lucile Hadžihalilović,PER,0.0,0.0,de,2
Benjamin Zweifel,Benjamin Zweifel,PER,0.7,0.0,de,2
Boris Bregar,Boris Bregar,PER,0.0,0.0,de,1
Martha Stewart,Martha Stewart,PER,-0.7,0.0,de,1
Ungewohnte Kälte,Ungewohnte Kälte,PER,-1.0,0.0,de,1
Christophe Jacrot,Christophe Jacrot,PER,0.7,0.0,de,1
Robert Kunkel,Robert Kunkel,PER,0.0,0.0,de,1
Heiko Rehberg,Heiko Rehberg,PER,0.0,0.0,de,1
Konrad Westph,Konrad Westph,PER,-0.09999999999999998,0.0,de,1
stelleniDer Kino-Zeit-Filmwecker,stelleniDer Kino-Zeit-Filmwecker,PER,0.35,0.0,de,1
Arc Raiders,Arc Raiders,PER,0.0,0.0,de,1
Jörg Silbergasser,Jörg Silbergasser,PER,0.5,0.5,de,1
Joachim Büü,Joachim Büü,PER,0.0,0.0,de,1
Bergretter-Star Sebastian Ströbel,Bergretter-Star Sebastian Ströbel,PER,0.0,0.0,de,1
Konzernchefin Evelyn Palla,Konzernchefin Evelyn Palla,PER,1.0,0.0,de,1
Konzernchefin Evely,Konzernchefin Evely,PER,0.0,0.0,de,1
Rodelnde Kinder,Rodelnde Kinder,PER,0.0,0.0,de,1
Strenger Frost,Strenger Frost,PER,-0.7,0.0,de,1
Patrick Schnieder,Patrick Schnieder,PER,0.0,0.0,de,1
Anfänglicher Nebel Kopiere,Anfänglicher Nebel Kopiere,PER,0.0,0.0,de,1
Mads Mikkelsen,Mads Mikkelsen,PER,0.0,0.0,de,1
Udo Weinberger,Udo Weinberger,PER,-0.7,0.0,de,1
Peter Schrattenholzer,Peter Schrattenholzer,PER,-0.7,0.0,de,1
Marcus Steinme,Marcus Steinme,PER,0.0,0.0,de,1
GF von Attensam,GF von Attensam,PER,-0.7,0.0,de,1
Kathrin Hondl,Kathrin Hondl,PER,0.0,0.0,de,1
Günther Jauch,Günther Jauch,PER,0.0,0.0,de,1
Kühles Wetter,Kühles Wetter,PER,-0.7,0.0,de,1
Armin Weigel,Armin Weigel,PER,-1.0,0.0,de,1
Niko Kovac,Niko Kovac,PER,0.0,0.0,de,1
Celina T,Celina T,PER,-0.7,0.0,de,1
Helge Tuschy,Helge Tuschy,PER,-0.7,0.0,de,1
Annika Hocke,Annika Hocke,PER,0.0,0.0,de,1
Vincent Kriechmayr,Vincent Kriechmayr,PER,0.0,0.0,de,1
Georg Eisath,Georg Eisath,PER,0.0,0.0,de,1
Einzigartiges Feldexperiment,Einzigartiges Feldexperiment,PER,0.0,0.0,de,1
Rolf Zuckowski,Rolf Zuckowski,PER,0.0,0.0,de,1
Diplom-Meteorologin Jacqueline K,Diplom-Meteorologin Jacqueline K,PER,0.0,0.0,de,1
Diplom-Meteorologin Jacqueline Ker,Diplom-Meteorologin Jacqueline Ker,PER,0.0,0.0,de,1
Rene Traut,Rene Traut,PER,0.0,0.0,de,1
Paul Heg,Paul Heg,PER,0.0,0.0,de,1
Julia Schmidt,Julia Schmidt,PER,0.0,0.0,de,1
Björn Alexander,Björn Alexander,PER,-0.7,0.0,de,1
Silvester Schnee,Silvester Schnee,PER,0.0,0.0,de,1
Roman Poseck,Roman Poseck,PER,0.7,0.0,de,1
Bille Augusts Verfilmun,Bille Augusts Verfilmun,PER,0.0,0.0,de,1
Sturmtief Elli,Sturmtief Elli,PER,1.0,0.0,de,1
Minerva Hase,Minerva Hase,PER,0.0,0.0,de,1
Peter Høegs,Peter Høegs,PER,0.0,0.0,de,1
Bille Augusts,Bille Augusts,PER,0.0,0.0,de,1
Frostige Kälte,Frostige Kälte,PER,-0.7999999999999999,0.0,de,1
Elyas M’Barek reißt,Elyas M’Barek reißt,PER,0.0,1.0,de,1
Filippa Coster-Waldau,Filippa Coster-Waldau,PER,0.0,1.0,de,1
Nikita Volodin,Nikita Volodin,PER,0.0,0.0,de,1
Dirk Lau,Dirk Lau,PER,0.0,0.0,de,1
Wintersturm Elli,Wintersturm Elli,PER,0.0,0.0,de,1
Lars Vollert,Lars Vollert,PER,0.0,0.0,de,1
Laura Anninger,Laura Anninger,PER,0.0,0.0,de,1
